timestamp,P_kWperkWp,source_id,source_name
2023-01-01 00:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 01:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 02:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 03:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 04:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 05:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 06:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 07:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 08:00:00,0.12861,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 09:00:00,0.222,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 10:00:00,0.45427,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 11:00:00,0.57066,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 12:00:00,0.62514,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 13:00:00,0.53338,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 14:00:00,0.29708,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 15:00:00,0.13085,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 16:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 17:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 18:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 19:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 20:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 21:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 22:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-01 23:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-02 00:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-02 01:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-02 02:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-02 03:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-02 04:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
2023-01-02 05:00:00,0.0,IT.CAED/301751001.FACILITY,Raffineria di Venezia
