timestamp,P_kWperkWp,source_id,source_name
2023-01-01 00:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 01:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 02:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 03:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 04:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 05:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 06:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 07:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 08:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 09:00:00,0.0054800000000000005,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 10:00:00,0.22287,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 11:00:00,0.32664,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 12:00:00,0.17937,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 13:00:00,0.03548,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 14:00:00,0.01028,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 15:00:00,0.00337,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 16:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 17:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 18:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 19:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 20:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 21:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 22:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-01 23:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-02 00:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-02 01:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-02 02:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
2023-01-02 03:00:00,0.0,FR.CAED/10727.FACILITY,TEREOS FRANCE
